sample_id,premise,hypothesis,n_agents,m_examples,label,predicted,result
4684,A brown dog and black and white dog run along the green grass.,Two squirrels run after acorns in the grass.,3,4,2,1.0,0
4684,A brown dog and black and white dog run along the green grass.,Two squirrels run after acorns in the grass.,5,4,2,1.0,0
4684,A brown dog and black and white dog run along the green grass.,Two squirrels run after acorns in the grass.,9,4,2,2.0,1
4684,A brown dog and black and white dog run along the green grass.,Two squirrels run after acorns in the grass.,1,8,2,2.0,1
4684,A brown dog and black and white dog run along the green grass.,Two squirrels run after acorns in the grass.,3,8,2,1.0,0
4684,A brown dog and black and white dog run along the green grass.,Two squirrels run after acorns in the grass.,5,8,2,1.0,0
4684,A brown dog and black and white dog run along the green grass.,Two squirrels run after acorns in the grass.,9,8,2,1.0,0
4684,A brown dog and black and white dog run along the green grass.,Two squirrels run after acorns in the grass.,1,16,2,2.0,1
4684,A brown dog and black and white dog run along the green grass.,Two squirrels run after acorns in the grass.,3,16,2,2.0,1
4684,A brown dog and black and white dog run along the green grass.,Two squirrels run after acorns in the grass.,5,16,2,2.0,1
4684,A brown dog and black and white dog run along the green grass.,Two squirrels run after acorns in the grass.,9,16,2,2.0,1
4684,A brown dog and black and white dog run along the green grass.,Two squirrels run after acorns in the grass.,1,32,2,2.0,1
4684,A brown dog and black and white dog run along the green grass.,Two squirrels run after acorns in the grass.,3,32,2,2.0,1
4684,A brown dog and black and white dog run along the green grass.,Two squirrels run after acorns in the grass.,5,32,2,2.0,1
4684,A brown dog and black and white dog run along the green grass.,Two squirrels run after acorns in the grass.,9,32,2,2.0,1
1731,A person in full astronaut suit and gear trains in an underwater lab as a scuba diver assists.,A female astronaut adjusting to the feeling of low gravity by training underwater.,1,1,1,1.0,1
1731,A person in full astronaut suit and gear trains in an underwater lab as a scuba diver assists.,A female astronaut adjusting to the feeling of low gravity by training underwater.,3,1,1,1.0,1
1731,A person in full astronaut suit and gear trains in an underwater lab as a scuba diver assists.,A female astronaut adjusting to the feeling of low gravity by training underwater.,5,1,1,1.0,1
1731,A person in full astronaut suit and gear trains in an underwater lab as a scuba diver assists.,A female astronaut adjusting to the feeling of low gravity by training underwater.,9,1,1,1.0,1
1731,A person in full astronaut suit and gear trains in an underwater lab as a scuba diver assists.,A female astronaut adjusting to the feeling of low gravity by training underwater.,1,4,1,1.0,1
1731,A person in full astronaut suit and gear trains in an underwater lab as a scuba diver assists.,A female astronaut adjusting to the feeling of low gravity by training underwater.,3,4,1,1.0,1
1731,A person in full astronaut suit and gear trains in an underwater lab as a scuba diver assists.,A female astronaut adjusting to the feeling of low gravity by training underwater.,5,4,1,1.0,1
1731,A person in full astronaut suit and gear trains in an underwater lab as a scuba diver assists.,A female astronaut adjusting to the feeling of low gravity by training underwater.,9,4,1,1.0,1
1731,A person in full astronaut suit and gear trains in an underwater lab as a scuba diver assists.,A female astronaut adjusting to the feeling of low gravity by training underwater.,1,8,1,1.0,1
1731,A person in full astronaut suit and gear trains in an underwater lab as a scuba diver assists.,A female astronaut adjusting to the feeling of low gravity by training underwater.,3,8,1,1.0,1
1731,A person in full astronaut suit and gear trains in an underwater lab as a scuba diver assists.,A female astronaut adjusting to the feeling of low gravity by training underwater.,5,8,1,1.0,1
1731,A person in full astronaut suit and gear trains in an underwater lab as a scuba diver assists.,A female astronaut adjusting to the feeling of low gravity by training underwater.,9,8,1,1.0,1
1731,A person in full astronaut suit and gear trains in an underwater lab as a scuba diver assists.,A female astronaut adjusting to the feeling of low gravity by training underwater.,1,16,1,1.0,1
1731,A person in full astronaut suit and gear trains in an underwater lab as a scuba diver assists.,A female astronaut adjusting to the feeling of low gravity by training underwater.,3,16,1,1.0,1
1731,A person in full astronaut suit and gear trains in an underwater lab as a scuba diver assists.,A female astronaut adjusting to the feeling of low gravity by training underwater.,5,16,1,1.0,1
1731,A person in full astronaut suit and gear trains in an underwater lab as a scuba diver assists.,A female astronaut adjusting to the feeling of low gravity by training underwater.,9,16,1,1.0,1
1731,A person in full astronaut suit and gear trains in an underwater lab as a scuba diver assists.,A female astronaut adjusting to the feeling of low gravity by training underwater.,1,32,1,1.0,1
1731,A person in full astronaut suit and gear trains in an underwater lab as a scuba diver assists.,A female astronaut adjusting to the feeling of low gravity by training underwater.,3,32,1,1.0,1
1731,A person in full astronaut suit and gear trains in an underwater lab as a scuba diver assists.,A female astronaut adjusting to the feeling of low gravity by training underwater.,5,32,1,1.0,1
1731,A person in full astronaut suit and gear trains in an underwater lab as a scuba diver assists.,A female astronaut adjusting to the feeling of low gravity by training underwater.,9,32,1,1.0,1
4742,An old Indian man dressed in rags sleeps on the ground using his backpack as a pillow.,An old Indian man is dressed up,1,1,2,2.0,1
4742,An old Indian man dressed in rags sleeps on the ground using his backpack as a pillow.,An old Indian man is dressed up,3,1,2,2.0,1
4742,An old Indian man dressed in rags sleeps on the ground using his backpack as a pillow.,An old Indian man is dressed up,5,1,2,2.0,1
4742,An old Indian man dressed in rags sleeps on the ground using his backpack as a pillow.,An old Indian man is dressed up,9,1,2,2.0,1
4742,An old Indian man dressed in rags sleeps on the ground using his backpack as a pillow.,An old Indian man is dressed up,1,4,2,2.0,1
4742,An old Indian man dressed in rags sleeps on the ground using his backpack as a pillow.,An old Indian man is dressed up,3,4,2,2.0,1
4742,An old Indian man dressed in rags sleeps on the ground using his backpack as a pillow.,An old Indian man is dressed up,5,4,2,2.0,1
4742,An old Indian man dressed in rags sleeps on the ground using his backpack as a pillow.,An old Indian man is dressed up,9,4,2,2.0,1
4742,An old Indian man dressed in rags sleeps on the ground using his backpack as a pillow.,An old Indian man is dressed up,1,8,2,2.0,1
4742,An old Indian man dressed in rags sleeps on the ground using his backpack as a pillow.,An old Indian man is dressed up,3,8,2,2.0,1
4742,An old Indian man dressed in rags sleeps on the ground using his backpack as a pillow.,An old Indian man is dressed up,5,8,2,2.0,1
4742,An old Indian man dressed in rags sleeps on the ground using his backpack as a pillow.,An old Indian man is dressed up,9,8,2,2.0,1
4742,An old Indian man dressed in rags sleeps on the ground using his backpack as a pillow.,An old Indian man is dressed up,1,16,2,2.0,1
4742,An old Indian man dressed in rags sleeps on the ground using his backpack as a pillow.,An old Indian man is dressed up,3,16,2,2.0,1
4742,An old Indian man dressed in rags sleeps on the ground using his backpack as a pillow.,An old Indian man is dressed up,5,16,2,2.0,1
4742,An old Indian man dressed in rags sleeps on the ground using his backpack as a pillow.,An old Indian man is dressed up,9,16,2,2.0,1
4742,An old Indian man dressed in rags sleeps on the ground using his backpack as a pillow.,An old Indian man is dressed up,1,32,2,2.0,1
4742,An old Indian man dressed in rags sleeps on the ground using his backpack as a pillow.,An old Indian man is dressed up,3,32,2,2.0,1
4742,An old Indian man dressed in rags sleeps on the ground using his backpack as a pillow.,An old Indian man is dressed up,5,32,2,2.0,1
4742,An old Indian man dressed in rags sleeps on the ground using his backpack as a pillow.,An old Indian man is dressed up,9,32,2,2.0,1
4521,A bunch of people are standing all together in a street with a building in the background.,A group of people are planning something.,1,1,1,1.0,1
4521,A bunch of people are standing all together in a street with a building in the background.,A group of people are planning something.,3,1,1,1.0,1
4521,A bunch of people are standing all together in a street with a building in the background.,A group of people are planning something.,5,1,1,1.0,1
4521,A bunch of people are standing all together in a street with a building in the background.,A group of people are planning something.,9,1,1,1.0,1
4521,A bunch of people are standing all together in a street with a building in the background.,A group of people are planning something.,1,4,1,1.0,1
4521,A bunch of people are standing all together in a street with a building in the background.,A group of people are planning something.,3,4,1,1.0,1
4521,A bunch of people are standing all together in a street with a building in the background.,A group of people are planning something.,5,4,1,1.0,1
4521,A bunch of people are standing all together in a street with a building in the background.,A group of people are planning something.,9,4,1,1.0,1
4521,A bunch of people are standing all together in a street with a building in the background.,A group of people are planning something.,1,8,1,1.0,1
4521,A bunch of people are standing all together in a street with a building in the background.,A group of people are planning something.,3,8,1,1.0,1
4521,A bunch of people are standing all together in a street with a building in the background.,A group of people are planning something.,5,8,1,1.0,1
4521,A bunch of people are standing all together in a street with a building in the background.,A group of people are planning something.,9,8,1,1.0,1
4521,A bunch of people are standing all together in a street with a building in the background.,A group of people are planning something.,1,16,1,1.0,1
4521,A bunch of people are standing all together in a street with a building in the background.,A group of people are planning something.,3,16,1,1.0,1
4521,A bunch of people are standing all together in a street with a building in the background.,A group of people are planning something.,5,16,1,1.0,1
4521,A bunch of people are standing all together in a street with a building in the background.,A group of people are planning something.,9,16,1,1.0,1
4521,A bunch of people are standing all together in a street with a building in the background.,A group of people are planning something.,1,32,1,1.0,1
4521,A bunch of people are standing all together in a street with a building in the background.,A group of people are planning something.,3,32,1,1.0,1
4521,A bunch of people are standing all together in a street with a building in the background.,A group of people are planning something.,5,32,1,1.0,1
4521,A bunch of people are standing all together in a street with a building in the background.,A group of people are planning something.,9,32,1,1.0,1
6340,"Two girls (one dressed in blue, and one dressed in pink) are racing one another on rollerskates.",The winner gets a free soda.,1,1,1,1.0,1
6340,"Two girls (one dressed in blue, and one dressed in pink) are racing one another on rollerskates.",The winner gets a free soda.,3,1,1,1.0,1
6340,"Two girls (one dressed in blue, and one dressed in pink) are racing one another on rollerskates.",The winner gets a free soda.,5,1,1,1.0,1
6340,"Two girls (one dressed in blue, and one dressed in pink) are racing one another on rollerskates.",The winner gets a free soda.,9,1,1,1.0,1
6340,"Two girls (one dressed in blue, and one dressed in pink) are racing one another on rollerskates.",The winner gets a free soda.,1,4,1,1.0,1
6340,"Two girls (one dressed in blue, and one dressed in pink) are racing one another on rollerskates.",The winner gets a free soda.,3,4,1,1.0,1
6340,"Two girls (one dressed in blue, and one dressed in pink) are racing one another on rollerskates.",The winner gets a free soda.,5,4,1,1.0,1
6340,"Two girls (one dressed in blue, and one dressed in pink) are racing one another on rollerskates.",The winner gets a free soda.,9,4,1,1.0,1
6340,"Two girls (one dressed in blue, and one dressed in pink) are racing one another on rollerskates.",The winner gets a free soda.,1,8,1,1.0,1
6340,"Two girls (one dressed in blue, and one dressed in pink) are racing one another on rollerskates.",The winner gets a free soda.,3,8,1,1.0,1
6340,"Two girls (one dressed in blue, and one dressed in pink) are racing one another on rollerskates.",The winner gets a free soda.,5,8,1,1.0,1
6340,"Two girls (one dressed in blue, and one dressed in pink) are racing one another on rollerskates.",The winner gets a free soda.,9,8,1,1.0,1
6340,"Two girls (one dressed in blue, and one dressed in pink) are racing one another on rollerskates.",The winner gets a free soda.,1,16,1,1.0,1
6340,"Two girls (one dressed in blue, and one dressed in pink) are racing one another on rollerskates.",The winner gets a free soda.,3,16,1,1.0,1
6340,"Two girls (one dressed in blue, and one dressed in pink) are racing one another on rollerskates.",The winner gets a free soda.,5,16,1,1.0,1
6340,"Two girls (one dressed in blue, and one dressed in pink) are racing one another on rollerskates.",The winner gets a free soda.,9,16,1,1.0,1
6340,"Two girls (one dressed in blue, and one dressed in pink) are racing one another on rollerskates.",The winner gets a free soda.,1,32,1,1.0,1
6340,"Two girls (one dressed in blue, and one dressed in pink) are racing one another on rollerskates.",The winner gets a free soda.,3,32,1,1.0,1
6340,"Two girls (one dressed in blue, and one dressed in pink) are racing one another on rollerskates.",The winner gets a free soda.,5,32,1,1.0,1
6340,"Two girls (one dressed in blue, and one dressed in pink) are racing one another on rollerskates.",The winner gets a free soda.,9,32,1,1.0,1
576,"Many people gathered in a room with several people on stage with instruments and the words ""The Early November"" on the wall.",Parents gathers for a local high school concert,1,1,1,1.0,1
576,"Many people gathered in a room with several people on stage with instruments and the words ""The Early November"" on the wall.",Parents gathers for a local high school concert,3,1,1,1.0,1
576,"Many people gathered in a room with several people on stage with instruments and the words ""The Early November"" on the wall.",Parents gathers for a local high school concert,5,1,1,1.0,1
576,"Many people gathered in a room with several people on stage with instruments and the words ""The Early November"" on the wall.",Parents gathers for a local high school concert,9,1,1,1.0,1
576,"Many people gathered in a room with several people on stage with instruments and the words ""The Early November"" on the wall.",Parents gathers for a local high school concert,1,4,1,1.0,1
576,"Many people gathered in a room with several people on stage with instruments and the words ""The Early November"" on the wall.",Parents gathers for a local high school concert,3,4,1,1.0,1
576,"Many people gathered in a room with several people on stage with instruments and the words ""The Early November"" on the wall.",Parents gathers for a local high school concert,5,4,1,1.0,1
576,"Many people gathered in a room with several people on stage with instruments and the words ""The Early November"" on the wall.",Parents gathers for a local high school concert,9,4,1,1.0,1
576,"Many people gathered in a room with several people on stage with instruments and the words ""The Early November"" on the wall.",Parents gathers for a local high school concert,1,8,1,1.0,1
576,"Many people gathered in a room with several people on stage with instruments and the words ""The Early November"" on the wall.",Parents gathers for a local high school concert,3,8,1,1.0,1
576,"Many people gathered in a room with several people on stage with instruments and the words ""The Early November"" on the wall.",Parents gathers for a local high school concert,5,8,1,1.0,1
576,"Many people gathered in a room with several people on stage with instruments and the words ""The Early November"" on the wall.",Parents gathers for a local high school concert,9,8,1,1.0,1
576,"Many people gathered in a room with several people on stage with instruments and the words ""The Early November"" on the wall.",Parents gathers for a local high school concert,1,16,1,1.0,1
576,"Many people gathered in a room with several people on stage with instruments and the words ""The Early November"" on the wall.",Parents gathers for a local high school concert,3,16,1,1.0,1
576,"Many people gathered in a room with several people on stage with instruments and the words ""The Early November"" on the wall.",Parents gathers for a local high school concert,5,16,1,1.0,1
576,"Many people gathered in a room with several people on stage with instruments and the words ""The Early November"" on the wall.",Parents gathers for a local high school concert,9,16,1,1.0,1
576,"Many people gathered in a room with several people on stage with instruments and the words ""The Early November"" on the wall.",Parents gathers for a local high school concert,1,32,1,1.0,1
576,"Many people gathered in a room with several people on stage with instruments and the words ""The Early November"" on the wall.",Parents gathers for a local high school concert,3,32,1,1.0,1
576,"Many people gathered in a room with several people on stage with instruments and the words ""The Early November"" on the wall.",Parents gathers for a local high school concert,5,32,1,1.0,1
576,"Many people gathered in a room with several people on stage with instruments and the words ""The Early November"" on the wall.",Parents gathers for a local high school concert,9,32,1,1.0,1
5202,A gray-haired man rides a bike in front of a bus advertising Ironman.,An older man rides his bike and is almost hit by a bus because he is looking at the Ironman poster.,1,1,1,1.0,1
5202,A gray-haired man rides a bike in front of a bus advertising Ironman.,An older man rides his bike and is almost hit by a bus because he is looking at the Ironman poster.,3,1,1,1.0,1
5202,A gray-haired man rides a bike in front of a bus advertising Ironman.,An older man rides his bike and is almost hit by a bus because he is looking at the Ironman poster.,5,1,1,1.0,1
5202,A gray-haired man rides a bike in front of a bus advertising Ironman.,An older man rides his bike and is almost hit by a bus because he is looking at the Ironman poster.,9,1,1,1.0,1
5202,A gray-haired man rides a bike in front of a bus advertising Ironman.,An older man rides his bike and is almost hit by a bus because he is looking at the Ironman poster.,1,4,1,1.0,1
5202,A gray-haired man rides a bike in front of a bus advertising Ironman.,An older man rides his bike and is almost hit by a bus because he is looking at the Ironman poster.,3,4,1,1.0,1
5202,A gray-haired man rides a bike in front of a bus advertising Ironman.,An older man rides his bike and is almost hit by a bus because he is looking at the Ironman poster.,5,4,1,1.0,1
5202,A gray-haired man rides a bike in front of a bus advertising Ironman.,An older man rides his bike and is almost hit by a bus because he is looking at the Ironman poster.,9,4,1,1.0,1
5202,A gray-haired man rides a bike in front of a bus advertising Ironman.,An older man rides his bike and is almost hit by a bus because he is looking at the Ironman poster.,1,8,1,1.0,1
5202,A gray-haired man rides a bike in front of a bus advertising Ironman.,An older man rides his bike and is almost hit by a bus because he is looking at the Ironman poster.,3,8,1,1.0,1
5202,A gray-haired man rides a bike in front of a bus advertising Ironman.,An older man rides his bike and is almost hit by a bus because he is looking at the Ironman poster.,5,8,1,1.0,1
5202,A gray-haired man rides a bike in front of a bus advertising Ironman.,An older man rides his bike and is almost hit by a bus because he is looking at the Ironman poster.,9,8,1,1.0,1
5202,A gray-haired man rides a bike in front of a bus advertising Ironman.,An older man rides his bike and is almost hit by a bus because he is looking at the Ironman poster.,1,16,1,1.0,1
5202,A gray-haired man rides a bike in front of a bus advertising Ironman.,An older man rides his bike and is almost hit by a bus because he is looking at the Ironman poster.,3,16,1,1.0,1
5202,A gray-haired man rides a bike in front of a bus advertising Ironman.,An older man rides his bike and is almost hit by a bus because he is looking at the Ironman poster.,5,16,1,1.0,1
5202,A gray-haired man rides a bike in front of a bus advertising Ironman.,An older man rides his bike and is almost hit by a bus because he is looking at the Ironman poster.,9,16,1,1.0,1
5202,A gray-haired man rides a bike in front of a bus advertising Ironman.,An older man rides his bike and is almost hit by a bus because he is looking at the Ironman poster.,1,32,1,1.0,1
5202,A gray-haired man rides a bike in front of a bus advertising Ironman.,An older man rides his bike and is almost hit by a bus because he is looking at the Ironman poster.,3,32,1,1.0,1
5202,A gray-haired man rides a bike in front of a bus advertising Ironman.,An older man rides his bike and is almost hit by a bus because he is looking at the Ironman poster.,5,32,1,1.0,1
5202,A gray-haired man rides a bike in front of a bus advertising Ironman.,An older man rides his bike and is almost hit by a bus because he is looking at the Ironman poster.,9,32,1,1.0,1
6363,Two men in black jackets behind a white handrail.,The two men are friends,1,1,1,1.0,1
6363,Two men in black jackets behind a white handrail.,The two men are friends,3,1,1,1.0,1
6363,Two men in black jackets behind a white handrail.,The two men are friends,5,1,1,1.0,1
6363,Two men in black jackets behind a white handrail.,The two men are friends,9,1,1,1.0,1
6363,Two men in black jackets behind a white handrail.,The two men are friends,1,4,1,1.0,1
6363,Two men in black jackets behind a white handrail.,The two men are friends,3,4,1,1.0,1
6363,Two men in black jackets behind a white handrail.,The two men are friends,5,4,1,1.0,1
6363,Two men in black jackets behind a white handrail.,The two men are friends,9,4,1,1.0,1
6363,Two men in black jackets behind a white handrail.,The two men are friends,1,8,1,1.0,1
6363,Two men in black jackets behind a white handrail.,The two men are friends,3,8,1,1.0,1
6363,Two men in black jackets behind a white handrail.,The two men are friends,5,8,1,1.0,1
6363,Two men in black jackets behind a white handrail.,The two men are friends,9,8,1,1.0,1
6363,Two men in black jackets behind a white handrail.,The two men are friends,1,16,1,1.0,1
6363,Two men in black jackets behind a white handrail.,The two men are friends,3,16,1,1.0,1
6363,Two men in black jackets behind a white handrail.,The two men are friends,5,16,1,1.0,1
6363,Two men in black jackets behind a white handrail.,The two men are friends,9,16,1,1.0,1
6363,Two men in black jackets behind a white handrail.,The two men are friends,1,32,1,1.0,1
6363,Two men in black jackets behind a white handrail.,The two men are friends,3,32,1,1.0,1
6363,Two men in black jackets behind a white handrail.,The two men are friends,5,32,1,1.0,1
6363,Two men in black jackets behind a white handrail.,The two men are friends,9,32,1,1.0,1
439,A man is playing the saxophone in the street and some people are sitting on the curb next to the street by him.,A man is trying to earn money by playing for other people on the street.,1,1,1,1.0,1
439,A man is playing the saxophone in the street and some people are sitting on the curb next to the street by him.,A man is trying to earn money by playing for other people on the street.,3,1,1,1.0,1
439,A man is playing the saxophone in the street and some people are sitting on the curb next to the street by him.,A man is trying to earn money by playing for other people on the street.,5,1,1,1.0,1
439,A man is playing the saxophone in the street and some people are sitting on the curb next to the street by him.,A man is trying to earn money by playing for other people on the street.,9,1,1,1.0,1
439,A man is playing the saxophone in the street and some people are sitting on the curb next to the street by him.,A man is trying to earn money by playing for other people on the street.,1,4,1,1.0,1
439,A man is playing the saxophone in the street and some people are sitting on the curb next to the street by him.,A man is trying to earn money by playing for other people on the street.,3,4,1,1.0,1
439,A man is playing the saxophone in the street and some people are sitting on the curb next to the street by him.,A man is trying to earn money by playing for other people on the street.,5,4,1,1.0,1
439,A man is playing the saxophone in the street and some people are sitting on the curb next to the street by him.,A man is trying to earn money by playing for other people on the street.,9,4,1,1.0,1
439,A man is playing the saxophone in the street and some people are sitting on the curb next to the street by him.,A man is trying to earn money by playing for other people on the street.,1,8,1,0.0,0
439,A man is playing the saxophone in the street and some people are sitting on the curb next to the street by him.,A man is trying to earn money by playing for other people on the street.,3,8,1,1.0,1
439,A man is playing the saxophone in the street and some people are sitting on the curb next to the street by him.,A man is trying to earn money by playing for other people on the street.,5,8,1,1.0,1
439,A man is playing the saxophone in the street and some people are sitting on the curb next to the street by him.,A man is trying to earn money by playing for other people on the street.,9,8,1,1.0,1
439,A man is playing the saxophone in the street and some people are sitting on the curb next to the street by him.,A man is trying to earn money by playing for other people on the street.,1,16,1,1.0,1
439,A man is playing the saxophone in the street and some people are sitting on the curb next to the street by him.,A man is trying to earn money by playing for other people on the street.,3,16,1,1.0,1
439,A man is playing the saxophone in the street and some people are sitting on the curb next to the street by him.,A man is trying to earn money by playing for other people on the street.,5,16,1,1.0,1
439,A man is playing the saxophone in the street and some people are sitting on the curb next to the street by him.,A man is trying to earn money by playing for other people on the street.,9,16,1,1.0,1
439,A man is playing the saxophone in the street and some people are sitting on the curb next to the street by him.,A man is trying to earn money by playing for other people on the street.,1,32,1,1.0,1
439,A man is playing the saxophone in the street and some people are sitting on the curb next to the street by him.,A man is trying to earn money by playing for other people on the street.,3,32,1,1.0,1
439,A man is playing the saxophone in the street and some people are sitting on the curb next to the street by him.,A man is trying to earn money by playing for other people on the street.,5,32,1,1.0,1
439,A man is playing the saxophone in the street and some people are sitting on the curb next to the street by him.,A man is trying to earn money by playing for other people on the street.,9,32,1,1.0,1
2750,A young girl wearing a red shirt and cap smiling and holding a small toy is standing in front of a group of children playing behind her.,The girl is smiling because she is having fun.,1,1,1,1.0,1
2750,A young girl wearing a red shirt and cap smiling and holding a small toy is standing in front of a group of children playing behind her.,The girl is smiling because she is having fun.,3,1,1,1.0,1
2750,A young girl wearing a red shirt and cap smiling and holding a small toy is standing in front of a group of children playing behind her.,The girl is smiling because she is having fun.,5,1,1,1.0,1
2750,A young girl wearing a red shirt and cap smiling and holding a small toy is standing in front of a group of children playing behind her.,The girl is smiling because she is having fun.,9,1,1,1.0,1
2750,A young girl wearing a red shirt and cap smiling and holding a small toy is standing in front of a group of children playing behind her.,The girl is smiling because she is having fun.,1,4,1,1.0,1
2750,A young girl wearing a red shirt and cap smiling and holding a small toy is standing in front of a group of children playing behind her.,The girl is smiling because she is having fun.,3,4,1,1.0,1
2750,A young girl wearing a red shirt and cap smiling and holding a small toy is standing in front of a group of children playing behind her.,The girl is smiling because she is having fun.,5,4,1,1.0,1
2750,A young girl wearing a red shirt and cap smiling and holding a small toy is standing in front of a group of children playing behind her.,The girl is smiling because she is having fun.,9,4,1,1.0,1
2750,A young girl wearing a red shirt and cap smiling and holding a small toy is standing in front of a group of children playing behind her.,The girl is smiling because she is having fun.,1,8,1,1.0,1
2750,A young girl wearing a red shirt and cap smiling and holding a small toy is standing in front of a group of children playing behind her.,The girl is smiling because she is having fun.,3,8,1,1.0,1
2750,A young girl wearing a red shirt and cap smiling and holding a small toy is standing in front of a group of children playing behind her.,The girl is smiling because she is having fun.,5,8,1,1.0,1
2750,A young girl wearing a red shirt and cap smiling and holding a small toy is standing in front of a group of children playing behind her.,The girl is smiling because she is having fun.,9,8,1,1.0,1
2750,A young girl wearing a red shirt and cap smiling and holding a small toy is standing in front of a group of children playing behind her.,The girl is smiling because she is having fun.,1,16,1,1.0,1
2750,A young girl wearing a red shirt and cap smiling and holding a small toy is standing in front of a group of children playing behind her.,The girl is smiling because she is having fun.,3,16,1,1.0,1
2750,A young girl wearing a red shirt and cap smiling and holding a small toy is standing in front of a group of children playing behind her.,The girl is smiling because she is having fun.,5,16,1,1.0,1
2750,A young girl wearing a red shirt and cap smiling and holding a small toy is standing in front of a group of children playing behind her.,The girl is smiling because she is having fun.,9,16,1,1.0,1
2750,A young girl wearing a red shirt and cap smiling and holding a small toy is standing in front of a group of children playing behind her.,The girl is smiling because she is having fun.,1,32,1,1.0,1
2750,A young girl wearing a red shirt and cap smiling and holding a small toy is standing in front of a group of children playing behind her.,The girl is smiling because she is having fun.,3,32,1,1.0,1
2750,A young girl wearing a red shirt and cap smiling and holding a small toy is standing in front of a group of children playing behind her.,The girl is smiling because she is having fun.,5,32,1,1.0,1
2750,A young girl wearing a red shirt and cap smiling and holding a small toy is standing in front of a group of children playing behind her.,The girl is smiling because she is having fun.,9,32,1,1.0,1
7487,"A woman in a blue uniform, with long curly red-hair, looking at her horse before the race.",The horse is dead.,1,1,2,2.0,1
7487,"A woman in a blue uniform, with long curly red-hair, looking at her horse before the race.",The horse is dead.,3,1,2,2.0,1
7487,"A woman in a blue uniform, with long curly red-hair, looking at her horse before the race.",The horse is dead.,5,1,2,2.0,1
7487,"A woman in a blue uniform, with long curly red-hair, looking at her horse before the race.",The horse is dead.,9,1,2,2.0,1
7487,"A woman in a blue uniform, with long curly red-hair, looking at her horse before the race.",The horse is dead.,1,4,2,2.0,1
7487,"A woman in a blue uniform, with long curly red-hair, looking at her horse before the race.",The horse is dead.,3,4,2,2.0,1
7487,"A woman in a blue uniform, with long curly red-hair, looking at her horse before the race.",The horse is dead.,5,4,2,2.0,1
7487,"A woman in a blue uniform, with long curly red-hair, looking at her horse before the race.",The horse is dead.,9,4,2,2.0,1
7487,"A woman in a blue uniform, with long curly red-hair, looking at her horse before the race.",The horse is dead.,1,8,2,2.0,1
7487,"A woman in a blue uniform, with long curly red-hair, looking at her horse before the race.",The horse is dead.,3,8,2,2.0,1
7487,"A woman in a blue uniform, with long curly red-hair, looking at her horse before the race.",The horse is dead.,5,8,2,2.0,1
7487,"A woman in a blue uniform, with long curly red-hair, looking at her horse before the race.",The horse is dead.,9,8,2,2.0,1
